Date,Time,A2(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-11-26,19:48:57.920,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.020,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.120,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.250,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.350,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.450,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.550,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.650,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.780,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.880,6.7,83,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:58.980,6.7,83,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.080,6.7,83,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.180,6.7,83,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.310,6.7,83,4.9,-6,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.410,6.7,83,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.510,6.7,83,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.650,6.7,83,4.9,-6,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.790,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:59.930,6.7,82,4.9,-4,1,-1024,3,-510,204,-1,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.040,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.140,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.280,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.410,6.7,82,4.9,-6,1,-1024,3,-510,204,0,0,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.510,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,1,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:49:00.610,6.7,82,4.9,-6,1,-1024,3,-510,204,-1,1,980,1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
