Date,Time,RSSI(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-07,21:57:03.930,85,268,43,-341,168,-108,204,-1,0,0,-1017,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:04.430,83,412,-124,-6,400,-108,204,-2,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:04.930,87,481,-211,-263,423,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:05.430,79,466,-257,-7,452,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:05.930,83,474,-140,-284,349,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:08.880,80,-13,8,-1024,10,-108,204,-1,0,0,-1017,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:57:09.380,93,-12,8,-1024,10,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:57:09.880,88,-12,8,-1024,10,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:57:10.380,85,-12,8,-1024,10,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2019-11-07,21:57:10.880,86,-23,6,-468,6,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:11.380,89,458,45,-314,475,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:11.880,84,573,-186,-260,475,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:12.380,90,57,-107,-204,-396,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:12.880,83,399,-89,-38,438,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:13.380,84,580,-53,-315,513,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:13.880,84,295,-206,-98,-3,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:14.380,77,252,129,-130,172,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:14.880,89,-3,461,-442,-7,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:15.380,86,-337,-322,-150,-699,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:15.880,92,-61,-74,-254,305,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:16.380,67,-230,-160,-76,-268,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:16.880,93,-247,-134,-247,-208,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:17.380,77,-46,-61,-307,215,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:17.880,82,-397,-140,-268,-478,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:57:18.380,79,35,72,-265,542,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
